@kdebug : DT_INUCAS : called on particle IDXCAS = 232 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.392, -.280, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 213 with IDHKK = -4122, IDCH = 0, NOBAM = 0, p=(0.107, 0.399, 3.293, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 209 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(0.002, -.230, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.336, 0.092, 3.916, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 229 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.148, -.174, 9.776, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 226 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.067, -.375, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 214 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.225, 0.018, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 241 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.035, 0.111, 1.943, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 231 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.083, -.321, 9.962, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 209 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(-.171, 0.481, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 213 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.001, 0.282, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 247 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(3.931, 4.934, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 230 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.909, -.686, 0.618, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 222 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.417, 0.126, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 222 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.336, 0.487, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 236 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.292, 0.247, 5.704, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 216 with IDHKK = -4122, IDCH = 0, NOBAM = 0, p=(-.267, -.321, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = -4122, IDCH = 0, NOBAM = 0, p=(0.177, -.449, 5.526, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 244 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(1.489, -.449, 1.182, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 229 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.544, 0.193, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 232 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.283, 0.157, 8.870, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(-.534, 0.107, 5.501, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 229 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(0.305, 0.321, 0.943, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.431, -.015, -.226, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 234 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(*****, -.735, 9.633, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 209 with IDHKK = 4122, IDCH = 0, NOBAM = 0, p=(0.027, 0.347, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 228 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(-.222, 0.349, 4.316, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 214 with IDHKK = -421, IDCH = 0, NOBAM = 0, p=(0.155, -.022, *****, 0.000)
@kdebug : DT_INUCAS : called on particle IDXCAS = 218 with IDHKK = 421, IDCH = 0, NOBAM = 0, p=(0.367, 0.403, 2.776, 0.000)
