Momentum (GeV/c),Theta (Deg),Eta,Delta p / p,DCA-rPhi [um],DCA-z [um]
0.2000,174.3000,-3.000000,0.03858,4356.09061,48477.3472
0.2000,174.0080,-2.950000,0.03702,3880.16747,41519.87672
0.2000,173.7010,-2.900000,0.03548,3726.49567,37191.16221
0.2000,173.3790,-2.850000,0.03397,3389.94684,32800.3534
0.2000,173.0400,-2.800000,0.03249,3151.31935,29120.7983
0.2000,172.6840,-2.750000,0.03105,2935.03284,25922.83064
0.2000,172.3100,-2.700000,0.02965,2739.47993,23139.18323
0.2000,171.9170,-2.650000,0.02829,2562.99034,20713.14468
0.2000,171.5040,-2.600000,0.02671,1951.90512,16900.30245
0.2000,171.0710,-2.550000,0.02546,1837.30004,14940.14882
0.2000,170.6150,-2.500000,0.02426,1690.67237,13267.81197
0.2000,170.1360,-2.450000,0.0231,1557.75904,11803.11396
0.2000,169.6330,-2.400000,0.022,1437.35398,10520.4477
0.2000,169.1040,-2.350000,0.02095,1328.69446,9395.4719
0.2000,168.5490,-2.300000,0.01994,1231.11853,8411.13417
0.2000,167.9670,-2.250000,0.01898,1143.58355,7550.03132
0.2000,167.3540,-2.200000,0.01806,1065.14542,6793.50178
0.2000,166.7120,-2.150000,0.01719,995.62267,6132.61543
0.2000,166.0370,-2.100000,0.01636,933.98162,5552.93426
0.2000,165.3290,-2.050000,0.01557,879.71021,5045.68319
0.2000,164.5850,-2.000000,0.01361,599.72488,3651.09277
0.2000,163.8050,-1.950000,0.01272,535.10623,3228.58567
0.2000,162.9870,-1.900000,0.0119,477.11992,2856.61938
0.2000,162.1280,-1.850000,0.01113,425.20992,2528.62375
0.2000,161.2280,-1.800000,0.01041,379.27578,2239.96086
0.2000,160.2840,-1.750000,0.00962,322.16123,2072.28259
0.2000,159.2940,-1.700000,0.00927,302.45054,1873.44765
0.2000,158.2570,-1.650000,0.00867,273.17505,1662.90121
0.2000,157.1710,-1.600000,0.00811,249.32448,1477.44755
0.2000,156.0340,-1.550000,0.00759,230.15659,1314.03191
0.2000,154.8430,-1.500000,0.00711,215.02193,1169.87493
0.2000,153.5980,-1.450000,0.00665,203.9977,1042.88083
0.2000,152.2950,-1.400000,0.00622,196.49705,930.79249
0.2000,150.9330,-1.350000,0.00582,191.44192,831.91794
0.2000,149.5110,-1.300000,0.00544,188.08071,744.73096
0.2000,148.0250,-1.250000,0.00509,183.00767,641.55457
0.2000,146.4760,-1.200000,0.00432,188.29461,602.67017
0.2000,144.8610,-1.150000,0.00412,177.38197,507.73868
0.2000,143.1780,-1.100000,0.00376,180.13691,478.05671
0.2000,141.4260,-1.050000,0.00297,179.5738,431.09704
0.2000,139.6050,-1.000000,0.00268,177.89527,390.71674
0.2000,137.7130,-0.950000,0.00245,177.37187,361.73084
0.2000,135.7500,-0.900000,0.01467,179.81278,320.09127
0.2000,133.7150,-0.850000,0.00776,170.94758,296.04834
0.2000,131.6080,-0.800000,0.00453,169.13349,273.19263
0.2000,129.4310,-0.750000,0.00452,164.16873,249.8529
0.2000,127.1830,-0.700000,0.00443,160.71803,230.90141
0.2000,124.8670,-0.650000,0.00435,157.01815,214.26426
0.2000,122.4830,-0.600000,0.00428,153.14969,199.67998
0.2000,120.0340,-0.550000,0.00421,149.26545,186.93776
0.2000,117.5240,-0.500000,0.00415,145.54633,175.85423
0.2000,114.9550,-0.450000,0.00409,142.04133,166.25951
0.2000,112.3310,-0.400000,0.00404,138.78165,158.01404
0.2000,109.6560,-0.350000,0.004,135.88278,150.99692
0.2000,106.9370,-0.300000,0.00396,133.33141,145.11111
0.2000,104.1770,-0.250000,0.00392,131.16021,140.26595
0.2000,101.3840,-0.200000,0.0039,129.39842,136.39538
0.2000,98.5620,-0.150000,0.00388,128.04686,133.44072
0.2000,95.7200,-0.100000,0.00386,127.04944,131.36221
0.2000,92.8640,-0.050000,0.00385,126.44612,130.12891
0.2000,90.0000,0.000000,0.00385,126.24595,128.47188
0.2000,87.1360,0.050000,0.00385,126.44756,131.07051
0.2000,84.2800,0.100000,0.00386,127.05234,132.30276
0.2000,81.4380,0.150000,0.00388,128.05193,134.38056
0.2000,78.6160,0.200000,0.0039,129.40405,137.33482
0.2000,75.8230,0.250000,0.00393,131.1673,141.20522
0.2000,73.0630,0.300000,0.00396,133.34083,146.05039
0.2000,70.3440,0.350000,0.004,135.89269,151.93631
0.2000,67.6690,0.400000,0.00404,138.791,158.95359
0.2000,65.0450,0.450000,0.00409,142.0554,167.19919
0.2000,62.4760,0.500000,0.00415,145.56119,176.79393
0.2000,59.9660,0.550000,0.00421,149.29146,187.87735
0.2000,57.5170,0.600000,0.00428,153.17853,200.61927
0.2000,55.1330,0.650000,0.00435,157.07243,215.20301
0.2000,52.8170,0.700000,0.00444,160.77177,231.83937
0.2000,50.5690,0.750000,0.00452,164.23195,250.78979
0.2000,48.3920,0.800000,0.00453,169.1317,273.02858
0.2000,46.2850,0.850000,0.00776,170.93327,297.1757
0.2000,44.2500,0.900000,0.01467,179.78379,321.20823
0.2000,42.2870,0.950000,0.00244,177.40123,362.53526
0.2000,40.3950,1.000000,0.00268,177.86712,391.64468
0.2000,38.5740,1.050000,0.00296,179.56126,432.0224
0.2000,36.8220,1.100000,0.00375,180.11493,478.6178
